"query"	"Description"	"Preferred_name"	"GOs"	"EC"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"BRITE"	"KEGG_TC"	"CAZy"	"BiGG_Reaction"	"PFAMs"
"CDS::101588_1:475592-476612(+)"	"acetyltransferase component of pyruvate dehydrogenase complex"	"pdhC"	"-"	"2.3.1.12"	"ko:K00627"	"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200"	"M00307"	"R00209,R02569"	"RC00004,RC02742,RC02857"	"br01601,ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"2-oxoacid_dh,Biotin_lipoyl,E3_binding"
"CDS::101588_1:479700-480528(+)"	"Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system"	"potA"	"-"	"3.6.3.30,3.6.3.31"	"ko:K02010,ko:K11072"	"ko02010,map02010"	"M00190,M00299"	"-"	"-"	"ko00000,ko00001,ko00002,ko01000,ko02000"	"3.A.1.10,3.A.1.11.1"	"-"	"iSB619.SA_RS05380"	"ABC_tran,TOBE_2"
"CDS::101588_1:514346-514613(+)"	"FecCD transport family"	"isdF"	"-"	"-"	"ko:K02015"	"ko02010,map02010"	"M00240"	"-"	"-"	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.14"	"-"	"-"	"FecCD"
"CDS::101588_1:515207-516920(+)"	"Sortase family"	"srtB"	"-"	"3.4.22.70"	"ko:K08600"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko01002,ko01011"	"-"	"-"	"-"	"Sortase"
"CDS::101588_1:519450-519765(+)"	"Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily"	"pheT"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016070,GO:0019538,GO:0019752,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494"	"6.1.1.20"	"ko:K01890"	"ko00970,map00970"	"M00359,M00360"	"R03660"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	"-"	"-"	"-"	"B3_4,B5,FDX-ACB,tRNA_bind"
"CDS::101588_1:520088-521870(+)"	"Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily"	"pheT"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016070,GO:0019538,GO:0019752,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494"	"6.1.1.20"	"ko:K01890"	"ko00970,map00970"	"M00359,M00360"	"R03660"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	"-"	"-"	"-"	"B3_4,B5,FDX-ACB,tRNA_bind"
"CDS::101588_1:522859-524626(+)"	"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division"	"zapA"	"-"	"-"	"ko:K09888"	"-"	"-"	"-"	"-"	"ko00000,ko03036"	"-"	"-"	"-"	"ZapA"
"CDS::101588_1:524625-525441(+)"	"DNA polymerase"	"polX"	"-"	"-"	"ko:K02347"	"-"	"-"	"-"	"-"	"ko00000,ko03400"	"-"	"-"	"-"	"DNA_pol_B_palm,DNA_pol_B_thumb,HHH_5,HHH_8,PHP"
"CDS::101588_1:525681-526482(+)"	"Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity"	"mutS2"	"GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391"	"-"	"ko:K07456"	"ko03430,map03430"	"-"	"-"	"-"	"ko00000,ko00001,ko03400"	"-"	"-"	"-"	"MutS_V,Smr"
"CDS::101588_1:527073-527577(+)"	"Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity"	"mutS2"	"GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391"	"-"	"ko:K07456"	"ko03430,map03430"	"-"	"-"	"-"	"ko00000,ko00001,ko03400"	"-"	"-"	"-"	"MutS_V,Smr"
"CDS::101588_1:529811-530318(+)"	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision"	"uvrC"	"GO:0005575,GO:0005622,GO:0005623,GO:0006950,GO:0006974,GO:0008150,GO:0009380,GO:0009987,GO:0032991,GO:0033554,GO:0044424,GO:0044464,GO:0050896,GO:0051716,GO:1902494,GO:1905347,GO:1905348,GO:1990391"	"-"	"ko:K03703"	"ko03420,map03420"	"-"	"-"	"-"	"ko00000,ko00001,ko03400"	"-"	"-"	"-"	"GIY-YIG,HHH_2,HHH_5,UVR,UvrC_HhH_N"
"CDS::101588_1:539282-539579(+)"	"Extracellular fibrinogen binding protein C terminal"	"-"	"-"	"-"	"ko:K14200"	"ko05150,map05150"	"-"	"-"	"-"	"ko00000,ko00001"	"-"	"-"	"-"	"efb-c"
"CDS::101588_1:549048-549480(+)"	"Belongs to the carbamate kinase family"	"arcC"	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006525,GO:0006527,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008804,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009987,GO:0016054,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0019546,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606"	"2.7.2.2"	"ko:K00926"	"ko00220,ko00230,ko00910,ko01100,ko01120,ko01200,map00220,map00230,map00910,map01100,map01120,map01200"	"-"	"R00150,R01395"	"RC00002,RC00043,RC02803,RC02804"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"AA_kinase"
"CDS::101588_1:558547-559720(+)"	"Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA"	"rsmH"	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070475,GO:0071424,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360"	"2.1.1.199"	"ko:K03438"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03009"	"-"	"-"	"-"	"Methyltransf_5"
"CDS::101588_1:560788-561463(+)"	"penicillin-binding protein"	"pbpX"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"-"	"ko:K08724,ko:K12552,ko:K12556"	"ko00550,ko01100,ko01501,map00550,map01100,map01501"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko01011"	"-"	"-"	"-"	"PASTA,PBP_dimer,Transpeptidase"
"CDS::101588_1:561459-562023(+)"	"penicillin-binding protein"	"pbpX"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"-"	"ko:K08724,ko:K12552,ko:K12556"	"ko00550,ko01100,ko01501,map00550,map01100,map01501"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko01011"	"-"	"-"	"-"	"PASTA,PBP_dimer,Transpeptidase"
"CDS::101588_1:570761-572069(+)"	"Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation, perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA"	"sepF"	"GO:0000910,GO:0003674,GO:0005488,GO:0005515,GO:0007049,GO:0008150,GO:0009987,GO:0016043,GO:0022402,GO:0022607,GO:0032506,GO:0042802,GO:0044085,GO:0051301,GO:0071840,GO:0090529"	"-"	"ko:K09772"	"-"	"-"	"-"	"-"	"ko00000,ko03036"	"-"	"-"	"-"	"SepF"
"CDS::101588_1:575364-578538(+)"	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)"	"ileS"	"-"	"6.1.1.5"	"ko:K01870"	"ko00970,map00970"	"M00359,M00360"	"R03656"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	"-"	"-"	"-"	"Anticodon_1,tRNA-synt_1,zf-FPG_IleRS"
"CDS::101588_1:584322-585522(+)"	"Belongs to the CarA family"	"carA"	"GO:0000050,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005951,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0019627,GO:0019752,GO:0032991,GO:0034641,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494"	"6.3.5.5"	"ko:K01956"	"ko00240,ko00250,ko01100,map00240,map00250,map01100"	"M00051"	"R00256,R00575,R01395,R10948,R10949"	"RC00002,RC00010,RC00043,RC02750,RC02798,RC03314"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iYO844.BSU15510"	"CPSase_sm_chain,GATase"
"CDS::101588_1:588432-589404(+)"	"Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP)"	"pyrF"	"GO:0003674,GO:0003824,GO:0004590,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006207,GO:0006220,GO:0006221,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019856,GO:0034641,GO:0034654,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"4.1.1.23"	"ko:K01591"	"ko00240,ko01100,map00240,map01100"	"M00051"	"R00965"	"RC00409"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"OMPdecase"
"CDS::101588_1:596829-597705(+)"	"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA"	"priA"	"GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006270,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0034645,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576"	"-"	"ko:K04066"	"ko03440,map03440"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03400"	"-"	"-"	"-"	"DEAD,Helicase_C,ResIII"
"CDS::101588_1:602234-604295(+)"	"Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA"	"sun"	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360"	"2.1.1.176"	"ko:K03500"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03009"	"-"	"-"	"-"	"Methyltr_RsmB-F,Methyltr_RsmF_N,NusB"
"CDS::101588_1:604512-605070(+)"	"Serine threonine protein kinase"	"prkC"	"GO:0002237,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009847,GO:0009987,GO:0010033,GO:0010243,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023052,GO:0032494,GO:0032502,GO:0036211,GO:0042221,GO:0042834,GO:0043170,GO:0043207,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051704,GO:0051707,GO:0051716,GO:0065007,GO:0070887,GO:0071216,GO:0071219,GO:0071224,GO:0071310,GO:0071417,GO:0071495,GO:0071704,GO:0071944,GO:0097367,GO:0140096,GO:1901564,GO:1901698,GO:1901699,GO:1901700,GO:1901701"	"2.7.11.1"	"ko:K08884,ko:K12132"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko01001"	"-"	"-"	"-"	"PASTA,Pkinase"
"CDS::101588_1:626927-627158(+)"	"An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes"	"rimM"	"-"	"-"	"ko:K02860"	"-"	"-"	"-"	"-"	"ko00000,ko03009"	"-"	"-"	"-"	"PRC,RimM"
"CDS::101588_1:633222-633768(+)"	"Endonuclease that specifically degrades the RNA of RNA- DNA hybrids"	"rnhB"	"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006281,GO:0006298,GO:0006401,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0019439,GO:0022616,GO:0032299,GO:0032991,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043137,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1901576"	"3.1.26.4"	"ko:K03470"	"ko03030,map03030"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03032"	"-"	"-"	"-"	"RNase_HII"
"CDS::101588_1:635261-636035(+)"	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"	"sucD"	"-"	"6.2.1.5"	"ko:K01902"	"ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200"	"M00009,M00011,M00173,M00374,M00620"	"R00405,R02404"	"RC00004,RC00014"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iYO844.BSU16100"	"CoA_binding,Ligase_CoA"
"CDS::101588_1:636376-637144(+)"	"protein involved in methicillin resistance"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"FemAB"
"CDS::101588_1:638343-639066(+)"	"Rossmann fold nucleotide-binding protein involved in DNA uptake"	"dprA"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007154,GO:0008150,GO:0009292,GO:0009294,GO:0009605,GO:0009987,GO:0009991,GO:0030420,GO:0031668,GO:0044424,GO:0044464,GO:0044764,GO:0050896,GO:0051704,GO:0051716,GO:0071496"	"-"	"ko:K04096"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"DNA_processg_A"
"CDS::101588_1:643088-644792(+)"	"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids"	"xerC"	"-"	"-"	"ko:K03733,ko:K04763"	"-"	"-"	"-"	"-"	"ko00000,ko03036"	"-"	"-"	"-"	"Phage_int_SAM_1,Phage_integrase"
"CDS::101588_1:649654-650122(+)"	"Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another"	"frr"	"GO:0002181,GO:0002184,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043021,GO:0043023,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0044877,GO:0071704,GO:0071840,GO:1901564,GO:1901566,GO:1901576"	"-"	"ko:K02838"	"-"	"-"	"-"	"-"	"ko00000,ko03012"	"-"	"-"	"-"	"RRF"
"CDS::101588_1:651338-651623(+)"	"Belongs to the CDS family"	"cdsA"	"GO:0003674,GO:0003824,GO:0004605,GO:0005575,GO:0006139,GO:0006220,GO:0006221,GO:0006629,GO:0006644,GO:0006650,GO:0006655,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009117,GO:0009165,GO:0009987,GO:0016020,GO:0016024,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0019637,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0045017,GO:0046341,GO:0046471,GO:0046474,GO:0046483,GO:0046486,GO:0055086,GO:0070567,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"2.7.7.41"	"ko:K00981"	"ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070"	"M00093"	"R01799"	"RC00002"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS06255"	"CTP_transf_1"
"CDS::101588_1:651619-651937(+)"	"Belongs to the CDS family"	"cdsA"	"GO:0003674,GO:0003824,GO:0004605,GO:0005575,GO:0006139,GO:0006220,GO:0006221,GO:0006629,GO:0006644,GO:0006650,GO:0006655,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009117,GO:0009165,GO:0009987,GO:0016020,GO:0016024,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0019637,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0045017,GO:0046341,GO:0046471,GO:0046474,GO:0046483,GO:0046486,GO:0055086,GO:0070567,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"2.7.7.41"	"ko:K00981"	"ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070"	"M00093"	"R01799"	"RC00002"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS06255"	"CTP_transf_1"
"CDS::101588_1:654444-654795(+)"	"Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS"	"proS"	"-"	"6.1.1.15"	"ko:K01881"	"ko00970,map00970"	"M00359,M00360"	"R03661"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	"-"	"-"	"-"	"HGTP_anticodon,tRNA-synt_2b,tRNA_edit"
"CDS::101588_1:666265-667552(+)"	"Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs"	"truB"	"GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016556,GO:0016853,GO:0016866,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1990481"	"5.4.99.25"	"ko:K03177,ko:K03483"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03000,ko03016"	"-"	"-"	"iSB619.SA_RS06305"	"TruB-C_2,TruB_C_2,TruB_N"
"CDS::101588_1:669206-669599(+)"	"Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction"	"pnp"	"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004654,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0016070,GO:0016071,GO:0016740,GO:0016772,GO:0016779,GO:0019222,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0060255,GO:0065007,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901361,GO:1901363,GO:1901575"	"2.7.7.8"	"ko:K00962"	"ko00230,ko00240,ko03018,map00230,map00240,map03018"	"M00394"	"R00437,R00438,R00439,R00440"	"RC02795"	"ko00000,ko00001,ko00002,ko01000,ko03016,ko03019"	"-"	"-"	"-"	"KH_1,PNPase,RNase_PH,RNase_PH_C,S1"
