# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA,tRNA,RNA" "-g" "Name" "-a" "../data/reference_sequences/WG_with_sRNAs_Staphylococcus_aureus_101588.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
[Genomic island nu Sa beta2]	101588_2;101588_2;101588_2;101588_2;101588_2;101588_12	726;1378;4839;5282;5725;487	1169;1755;5282;5725;5895;585	+;+;+;+;+;+	1978	418	567	454	388	352	163	466	347	269
Hyaluronate lyase precursor	101588_2;101588_10	1881;38368	4304;40797	-;+	4854	688	736	768	818	639	760	899	616	650
Transposase	101588_2;101588_3;101588_3	5968;64115;409022	6249;64387;409156	+;+;-	690	422	497	456	210	184	95	251	208	201
truncated transposase	101588_2	6291	6596	+	306	131	125	83	62	58	14	75	56	50
FIG01108514: hypothetical protein	101588_2	6698	7081	+	384	194	237	233	211	152	71	242	168	177
FIG01108644: hypothetical protein	101588_2	7092	7268	+	177	32	34	29	38	26	15	24	23	27
FIG01108398: hypothetical protein	101588_2	7639	8196	+	558	163	156	143	73	64	40	96	66	59
Hypothetical protein SAV1803	101588_2	8394	8966	-	573	207	250	196	185	159	119	213	216	145
Hypothetical protein SAV1802	101588_2	9064	9408	-	345	152	191	140	108	141	49	120	112	103
Hypothetical protein SAV1801	101588_2	9449	10075	-	627	241	411	233	106	99	85	126	143	88
Hypothetical protein SAV1800	101588_2	10151	11146	-	996	6043	10508	6404	4476	5835	4564	5469	6043	3916
Hypothetical protein SAV1799	101588_2	11227	11853	-	627	5777	11193	7310	5012	6560	5397	6124	6760	4516
Hypothetical protein SAV1798	101588_2	12165	12647	+	483	22	34	28	124	119	43	137	93	93
O-succinylbenzoic acid--CoA ligase	101588_2	12806	14284	+	1479	1171	1379	1293	584	615	720	741	646	564
O-succinylbenzoate synthase	101588_2	14289	15290	+	1002	541	650	619	400	374	465	511	395	385
Membrane protein insertion efficiency factor YidD%0ACDS	101588_2	15287	15544	-	258	417	558	462	354	279	444	399	275	248
8-oxo-dGTPase Bsu YtkD / 8-oxo-GTPase Bsu YtkD%0ACDS	101588_2	15604	16083	+	480	265	308	301	126	87	100	126	103	92
Dipeptidyl%0Aaminopeptidases/acylaminoacyl-peptidases	101588_2	16064	16834	+	771	339	384	367	100	87	155	126	107	105
Phosphoenolpyruvate carboxykinase [ATP]	101588_2	17131	18723	-	1593	38549	41959	38514	36298	34897	37937	41693	35573	32173
S-adenosylmethionine synthetase	101588_2	19095	20288	+	1194	2265	2854	2706	2602	2387	1228	3112	2610	2438
Hypothetical protein SAV1789	101588_2	20413	21321	+	909	4935	5587	5709	2975	2581	1296	3472	2712	2861
Fluoride ion transporter CrcB	101588_2;101588_2	22616;22966	22969;23331	-;-	716	250	245	236	122	85	71	126	138	96
Hypothetical protein SAV1782	101588_2	23586	23888	-	303	1028	1174	1064	660	506	183	692	541	592
Transaldolase	101588_2	24147	24860	+	714	9303	11045	10403	3189	2464	1042	3796	2557	2833
CAAX amino terminal protease family protein	101588_2;101588_2	25423;26210	26043;26845	-;-	1257	1021	894	923	980	796	848	1095	904	818
Hypothetical protein SAV1779	101588_2	27143	27586	+	444	529	581	472	398	365	141	402	341	358
Hypothetical protein SAV1778	101588_2	27573	28016	-	444	157	161	158	115	133	60	166	135	121
Hypothetical protein SAV1777	101588_2	28129	28599	-	471	186	211	174	161	162	137	239	181	166
Autolysin	101588_2;101588_6	29298;64444	30152;65220	+;+	1632	5844	7459	7092	14477	13918	8996	15312	13291	12434
Arsenite/antimonite:H+ antiporter ArsB	101588_2	30239	31531	-	1293	246	239	261	527	614	602	642	606	511
Arsenical resistance operon repressor	101588_2	31531	31845	-	315	0	0	0	0	0	0	0	0	0
Hypothetical protein SAV1772	101588_2	32488	33990	+	1503	1293	1200	1145	640	589	292	778	543	582
Diaminohydroxyphosphoribosylaminopyrimidine%0Adeaminase / 5-amino-6-(5-phosphoribosylamino)uracil%0Areductase	101588_2	34471	35514	+	1044	3382	3122	4840	1130	1037	1345	1481	1067	1281
Riboflavin synthase eubacterial/eukaryotic	101588_2	35521	36153	+	633	1342	1257	2060	525	424	547	528	405	519
3%2C4-dihydroxy-2-butanone 4-phosphate synthase /%0AGTP cyclohydrolase II	101588_2	36164	37345	+	1182	2767	2443	3835	1004	871	1069	1169	922	1037
6%2C7-dimethyl-8-ribityllumazine synthase	101588_2	37358	37816	+	459	964	845	1302	325	307	194	373	294	317
Proline dehydrogenase	101588_2	37944	38945	-	1002	10904	10740	10015	7351	5521	7149	7266	5749	5421
Lysophospholipase%3B Monoglyceride lipase	101588_2;101588_2	39179;597282	40006;598199	+;-	1746	1944	2466	2249	971	947	520	1305	925	972
Repressor of toxins Rot	101588_2	40579	40980	+	402	2303	3315	3193	2652	2334	1274	2894	2172	2075
Putative rRNA methylase YtqB	101588_2	41099	41662	-	564	417	536	497	520	502	438	579	473	436
[4Fe-4S]-AdoMet protein YtqA	101588_2	41659	42612	-	954	957	1055	981	1117	1081	1157	1281	1055	1014
Uncharacterized MFS-type transporter YttB	101588_2	42722	43903	+	1182	792	886	684	945	975	556	1081	978	796
Leucyl-tRNA synthetase	101588_2	44191	46608	+	2418	4933	5347	4997	2006	1838	1288	2286	1881	1744
Rhodanese-like domain protein	101588_2;101588_2	46630;281907	46941;282293	+;-	699	3558	4416	3833	1521	1352	657	1768	1597	1402
Predicted cell-wall-anchored protein SasC (LPXTG%0Amotif)	101588_2	47265	53813	+	6549	266	302	293	475	504	732	559	401	424
Uncharacterized flavin-containing protein YtfP%0ACDS	101588_2	53930	55198	-	1269	525	598	593	561	481	628	619	509	414
Probable cell division protein YtgP	101588_2	55602	57263	+	1662	3208	3344	2865	2575	2421	1840	3313	2669	2399
SSU rRNA pseudouridine(516) synthase	101588_2	57260	57955	+	696	2208	2454	2344	3092	2503	1789	3241	2511	2623
Hypothetical protein SAV1752	101588_2	57972	58394	+	423	5556	6323	6249	11424	8971	5223	10924	8120	8472
Putative Xaa-His dipeptidase	101588_2	58600	60009	+	1410	7744	7956	7786	4262	3916	2244	4840	3711	3674
D-alanine aminotransferase	101588_2	60013	60861	+	849	4561	4266	4218	2673	2456	1236	2917	2605	2193
Putative phosphotransferase YtmP	101588_2	61412	62203	+	792	4035	5210	4946	5934	5326	3058	6350	5319	5074
tRNA (guanine(46)-N(7))-methyltransferase	101588_2	62218	62862	+	645	2330	2974	2820	4279	3786	1703	4548	3773	3546
Quorum-quenching lactonase YtnP	101588_2	63386	64228	+	843	459	552	451	326	278	97	337	310	253
Hypothetical protein MW1689	101588_2	64353	64667	-	315	1067	1067	844	456	401	278	656	490	444
Glutamyl aminopeptidase%3B Deblocking aminopeptidase%0ACDS	101588_2	64751	65827	+	1077	1598	1859	1700	859	759	370	1063	715	726
FIG009688: Thioredoxin	101588_2	65892	66203	+	312	1190	1395	1479	1078	812	304	1178	774	1000
FIG002434: Uncharacterized protein YtpQ	101588_2	66303	67160	+	858	1264	1246	1191	1519	1246	845	1492	1343	1177
Phenylalanyl-tRNA synthetase domain protein (Bsu%0AYtpR)	101588_2	67189	67785	+	597	884	895	791	1127	1012	1003	1157	972	875
UDP-N-acetylmuramate--L-alanine ligase	101588_2	71654	72967	+	1314	3642	3917	3459	4324	3782	1825	4810	3958	3331
UPF0478 protein YtxG	101588_2	73041	73532	+	492	18514	19603	18812	14867	11548	4822	16090	11516	12461
Maebl	101588_2	73606	74958	+	1353	10018	11904	12329	14196	11803	10805	14176	10835	11407
Chorismate mutase I /%0A2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate%0Asynthase I beta	101588_2	75652	76743	+	1092	2590	2591	2482	2522	2062	1680	2462	2142	2000
Catabolite control protein A	101588_2	77283	78272	+	990	6776	7163	7163	6648	5547	4947	6928	5768	5645
NAD-independent protein deacetylase AcuC	101588_2	78370	79539	-	1170	1543	1648	1630	1157	869	1005	1233	968	921
Acetyltransferase AcuA%2C acetyl-CoA synthetase%0Ainhibitor	101588_2	79564	80196	-	633	931	933	949	466	369	400	561	435	460
Acetyl-CoA synthetase	101588_2	80365	82071	+	1707	6787	7133	6637	4068	3478	2909	4395	3617	3361
Formate--tetrahydrofolate ligase	101588_2	82512	84179	+	1668	29835	34082	30124	7928	7004	7275	9461	7292	6620
Cell surface receptor IsdH for%0Ahemoglobin-haptoglobin complexes	101588_2	84512	87199	+	2688	96	111	91	97	71	96	114	63	87
Multimodular transpeptidase-transglycosylase	101588_2	87405	88310	-	906	327	395	362	184	166	133	203	152	189
Tyrosyl-tRNA synthetase	101588_2	88691	89953	+	1263	1545	1871	1713	542	489	304	638	507	514
Acyl-ACP:1-acyl-sn-glycerol-3-phosphate%0Aacyltransferase (EC 2.3.1.n4)	101588_2	91493	92110	+	618	1566	1595	1481	1223	1011	423	1150	1007	1010
PTS system%2C N-acetylglucosamine-specific IIC%0Acomponent / PTS system%2C N-acetylglucosamine-specific IIB%0Acomponent	101588_2	92238	93704	+	1467	1792	1914	1627	1117	1052	678	1278	1093	1008
Phosphoserine phosphatase	101588_2	93811	94941	+	1131	626	606	610	701	680	461	732	682	719
D-3-phosphoglycerate dehydrogenase	101588_2	95091	96695	-	1605	709	752	786	533	417	488	598	448	444
Phosphoserine aminotransferase%2C putative	101588_2	96682	97842	-	1161	530	543	577	212	203	262	259	227	229
SSU ribosomal protein S4p (S9e) @ SSU ribosomal%0Aprotein S4p (S9e)%2C zinc-independent	101588_2	99443	100045	-	603	8239	10889	8306	32102	35930	25263	37473	35670	28309
Free methionine-(R)-sulfoxide reductase%2C contains%0AGAF domain	101588_2	100289	100753	-	465	929	785	820	382	287	269	470	417	296
Septation ring formation regulator EzrA	101588_2	100890	102584	+	1695	12824	13723	12595	12766	11154	4157	13349	11128	9659
Cysteine desulfurase%2C associated with tRNA%0A4-thiouridine synthase	101588_2	102894	104060	+	1167	395	523	450	838	934	695	965	917	788
tRNA 4-thiouridine synthase	101588_2	104060	105283	+	1224	436	491	464	908	944	870	1031	984	780
Transmembrane protein YfcA	101588_2	105327	106097	+	771	268	284	278	638	648	559	688	669	517
Thiol peroxidase%2C Tpx-type	101588_2	106195	106689	+	495	6422	5979	5556	2003	1637	952	2643	1891	1797
Adenine-specific methyltransferase	101588_2	106812	107759	+	948	1797	2112	2015	866	729	556	983	728	722
Acetate kinase	101588_2	107847	109049	+	1203	6328	6856	6417	3201	2709	1542	3962	2890	2549
Universal stress protein family	101588_2;101588_2;101588_14	109296;113796;15876	109796;114209;16307	-;-;-	1347	16373	17701	17415	11130	9044	4545	12607	8845	8620
Alanine dehydrogenase	101588_2;101588_2	109937;424348	111055;425466	+;+	2238	15086	17704	15314	13371	12801	10030	15391	12960	10920
Proline dipeptidase	101588_2	111371	112426	-	1056	2464	2504	2552	1608	1329	943	1823	1308	1435
FIG002379: metal-dependent hydrolase	101588_2	112601	113290	+	690	4492	5024	5051	3151	2398	1331	3551	2470	2670
Uncharacterized protein YtoI	101588_2	114414	115712	+	1299	1601	1865	1839	1376	1264	976	1703	1242	1199
3'-to-5' oligoribonuclease A%2C Bacillus type	101588_2	116082	117023	+	942	1197	1220	1084	1020	927	758	1135	890	819
DNA polymerase III alpha subunit	101588_2	117044	120241	+	3198	3582	3779	3599	4364	4051	2723	5040	4226	3600
NADP-dependent malic enzyme	101588_2	120690	121919	+	1230	3739	4247	3827	3512	3215	2814	3751	3388	3030
Acetyl-coenzyme A carboxyl transferase beta chain%0ACDS	101588_2	122114	122971	+	858	2986	3369	2998	4079	3762	2940	4527	3907	3524
Acetyl-coenzyme A carboxyl transferase alpha chain%0ACDS	101588_2	122971	123915	+	945	2891	3277	2826	4229	3967	3023	4753	4224	3801
6-phosphofructokinase	101588_2	124184	125152	+	969	4051	4182	4037	2184	1699	1429	2526	1860	1790
Pyruvate kinase / Phosphohistidine swiveling%0Adomain	101588_2	125174	126931	+	1758	9936	9944	9444	6149	5210	2370	7483	5737	5504
D-serine/D-alanine/glycine transporter	101588_2;101588_5	127275;72529	128636;73878	-;+	2712	18859	20523	16657	8317	8324	8477	10144	9315	7475
Citrate synthase (si)	101588_2	128984	130105	+	1122	27087	27069	25371	14254	10731	9885	15487	11099	10910
Isocitrate dehydrogenase [NADP]	101588_2	130154	131422	+	1269	29478	31448	29039	22357	17757	14238	24403	17977	17691
Alkaline phosphatase synthesis transcriptional%0Aregulatory protein PhoP	101588_2	131812	132513	+	702	1230	1402	1278	783	767	582	1023	778	764
Phosphate regulon sensor protein PhoR (SphS)	101588_2	132513	134177	+	1665	2796	2904	2736	1826	1832	1324	2100	1916	1682
DNA polymerase I	101588_2	136456	139086	+	2631	5202	5128	4868	2938	2355	1792	3277	2593	2291
Formamidopyrimidine-DNA glycosylase	101588_2	139102	139974	+	873	1761	1699	1592	1623	1367	1021	1920	1436	1408
Dephospho-CoA kinase	101588_2	139990	140613	+	624	993	1241	1226	1273	1146	684	1475	1144	1107
NADP-dependent glyceraldehyde-3-phosphate%0Adehydrogenase	101588_2	140783	141808	+	1026	40822	39773	36429	29439	26120	16678	32532	27130	24265
Ribonucleotide reductase transcriptional regulator%0ANrdR	101588_2	142018	142488	+	471	2145	2423	2399	2960	2521	2266	3241	2683	2501
Replication initiation and membrane attachment%0Aprotein DnaB	101588_2	142489	143889	+	1401	3512	3351	3441	6164	5203	6018	6418	5272	4952
Helicase loader DnaI	101588_2	143889	144809	+	921	2658	3026	3040	6418	5287	6025	6129	5178	4941
Threonyl-tRNA synthetase	101588_2	145222	147159	+	1938	5138	5530	5312	1527	1522	959	1765	1639	1432
Lysine-specific permease	101588_2	147585	149078	+	1494	1247	1134	1084	1324	1105	996	1407	1071	1125
Translation initiation factor 3	101588_2	149274	149834	+	561	4511	5807	5052	35105	36079	24251	38178	35677	28743
LSU ribosomal protein L35p	101588_2	149863	150063	+	201	2516	4778	4233	30740	30120	18260	31701	26433	26177
LSU ribosomal protein L20p	101588_2	150110	150466	+	357	2280	3514	2908	17390	18777	9974	19731	17801	15045
Uncharacterized protein YmaB	101588_2	150608	151216	+	609	1521	1674	1596	1391	1365	1059	1408	1318	1136
Cell division trigger factor	101588_2	152327	153628	+	1302	15610	19481	18051	15647	14049	7716	17871	14441	13500
ATP-dependent Clp protease ATP-binding subunit%0AClpX	101588_2	153779	155041	+	1263	5521	6333	5574	5137	5000	1907	6284	5039	4515
GTP-binding protein EngB	101588_2	155195	155785	+	591	496	542	495	599	552	251	726	538	558
Glutamyl-tRNA reductase	101588_2	156002	157348	+	1347	8428	11756	10830	12801	12987	6452	15406	12600	10743
HemX protein%2C negative effector of steady-state%0Aconcentration of glutamyl-tRNA reductase	101588_2	157370	158185	+	816	921	997	883	1207	1207	590	1379	1333	999
Porphobilinogen deaminase	101588_2	158227	159153	+	927	1335	1882	1674	2209	2286	1082	2427	2286	1850
Uroporphyrinogen-III synthase	101588_2	159175	159843	+	669	412	461	474	279	264	194	311	275	227
Porphobilinogen synthase	101588_2	159846	160820	+	975	966	1129	1049	797	794	506	810	759	654
Glutamate-1-semialdehyde 2%2C1-aminomutase	101588_2;101588_7	160868;130488	162154;131777	+;-	2577	3738	4720	4296	3304	2807	1984	3842	2936	2885
FIG01108245: hypothetical protein	101588_2	162322	162471	-	150	156	145	102	73	75	52	92	80	78
DNA-3-methyladenine glycosylase	101588_2	163646	164206	-	561	1139	1299	1324	754	619	207	759	573	639
Valyl-tRNA synthetase	101588_2	164609	167239	+	2631	4481	5230	4710	4251	3782	3435	4568	3991	3569
Dihydrofolate synthase @ Folylpolyglutamate%0Asynthase	101588_2	167252	168523	+	1272	1994	2449	2088	2399	2419	1666	2909	2667	2274
Late competence protein ComC%2C processing protease%0ACDS	101588_2	168785	169492	+	708	114	123	122	88	72	75	102	91	82
UPF0758 family protein	101588_2	169489	170175	+	687	49	56	84	60	39	41	66	46	56
Rod shape-determining protein MreC	101588_2	171865	172707	+	843	1629	1851	1695	1911	1878	777	2135	2023	1641
Rod shape-determining protein MreD	101588_2	172707	173237	+	531	845	752	674	1010	1005	334	1147	1026	805
LSU ribosomal protein L21p	101588_2	173724	174032	+	309	6317	8614	6948	35520	38969	11822	39320	35296	28818
FIG139598: Potential ribosomal protein	101588_2	174038	174358	+	321	4409	5375	3873	20323	23266	7531	23683	22704	17007
LSU ribosomal protein L27p	101588_2	174370	174654	+	285	3034	4475	3444	14162	16390	5236	16751	15209	11557
GTP-binding protein Obg	101588_2	175141	176433	+	1293	3520	4003	3761	13240	14197	12209	13588	13012	10914
ACT domain-containing protein	101588_2	176443	176901	+	459	907	939	781	2456	2744	1864	2736	2648	2009
Holliday junction ATP-dependent DNA helicase RuvA%0ACDS	101588_2	176915	177517	+	603	1239	1423	1292	4839	5207	3328	5113	4640	3867
Holliday junction ATP-dependent DNA helicase RuvB%0ACDS	101588_2	177549	178553	+	1005	1809	2366	2202	7721	7822	5824	7924	7546	6156
S-adenosylmethionine:tRNA%0Aribosyltransferase-isomerase	101588_2	178555	179580	+	1026	1370	1452	1206	4461	4511	3454	4839	4745	3639
Queuine tRNA-ribosyltransferase	101588_2	179603	180742	+	1140	4312	5562	4797	7420	7643	4425	8398	7483	6650
Protein translocase subunit YajC	101588_2	180761	181021	+	261	930	1138	866	661	640	212	832	642	589
Protein translocase subunit SecD / Protein%0Atranslocase subunit SecF	101588_2	181296	183575	+	2280	6371	6458	6072	6128	5866	4307	6988	5865	5363
Single-stranded-DNA-specific exonuclease RecJ	101588_2	183778	186051	+	2274	1678	2148	1851	1691	1714	1345	1770	1683	1465
Adenine phosphoribosyltransferase	101588_2	186073	186591	+	519	669	879	724	715	672	416	779	692	592
Guanosine-3'%2C5'-bis(diphosphate)%0A3'-pyrophosphohydrolase / GTP pyrophosphokinase%2C (p)ppGpp%0Asynthetase II	101588_2	186998	189208	+	2211	6043	6431	6137	3735	3157	2743	4385	3673	3614
D-aminoacyl-tRNA deacylase	101588_2	189220	189672	+	453	1693	1904	1754	1101	1061	777	1454	1262	1170
LytH protein involved in methicillin resistance /%0AN-acetylmuramoyl-L-alanine amidase domain	101588_2	189669	190544	+	876	2002	2538	2443	1142	1017	672	1394	1092	1092
Histidyl-tRNA synthetase	101588_2	191005	192267	+	1263	2117	2234	2048	512	498	353	600	536	402
Aspartyl-tRNA synthetase	101588_2	192283	194049	+	1767	4449	4892	4520	2174	1878	1186	2421	2062	1806
HesA/MoeB/ThiF family protein	101588_2	194510	195283	+	774	557	678	676	638	600	326	718	551	589
Replication-associated recombination protein RarA%0ACDS	101588_2	195444	196718	-	1275	2208	2656	2436	1865	1737	2551	2264	1808	1697
Iron-sulfur cluster regulator IscR	101588_2	196803	197225	+	423	1300	1523	1485	793	640	201	791	569	661
sigmaB-controlled gene product	101588_2	197325	197507	+	183	13439	15970	15998	24942	19653	8514	25448	19902	22281
Flavin-utilizing monoxygenase	101588_2	197930	198943	-	1014	569	677	483	434	472	478	436	457	351
Cysteine desulfurase	101588_2	199254	200396	+	1143	1343	1673	1552	1868	1769	1533	2049	1764	1745
tRNA-specific 2-thiouridylase MnmA	101588_2	200397	201515	+	1119	1051	1443	1340	1681	1601	1486	1882	1609	1466
TPR repeat-containing protein YrrB	101588_2	202203	202871	+	669	479	559	603	302	283	206	387	276	282
RecD-like DNA helicase YrrC	101588_2	202873	205350	+	2478	1738	2149	1922	850	824	519	1014	879	831
Alanyl-tRNA synthetase	101588_2	205690	208323	+	2634	3997	4238	3902	2679	2421	1554	2899	2598	2170
UPF0297 protein YrzL	101588_2	208386	208646	+	261	2177	2524	2583	3069	2296	1086	3100	2313	2313
Putative pre-16S rRNA nuclease YqgF	101588_2	208650	209078	+	429	3208	3928	3749	5287	4100	1886	5163	4114	3854
FIG011945: O-methyltransferase family protein	101588_2	209686	210324	+	639	464	534	489	801	794	443	863	810	655
Uncharacterized protease YrrN	101588_2	210327	211250	+	924	1009	1326	1226	1881	1840	1439	2013	1899	1688
Uncharacterized protease YrrO	101588_2	211262	212530	+	1269	1611	1922	1749	2824	2803	2290	3184	2862	2582
Uridine kinase	101588_2	212530	213153	+	624	1890	2357	2169	2527	2481	1632	2891	2606	2362
Transcription elongation factor GreA	101588_2	213181	213657	+	477	1955	2528	2187	2147	2133	941	2528	2124	1963
Biotin carboxyl carrier protein associated with%0ASAR1687-8	101588_2	215718	216167	+	450	106	160	148	145	96	98	166	90	123
Biotin carboxylase	101588_2	216181	217542	+	1362	503	524	415	496	435	479	603	431	408
Lactam utilization protein LamB	101588_2	217542	218294	+	753	236	254	257	252	238	313	285	235	230
Uncharacterized metal ion transporter YcsG%2C%0AMn(2+)/Fe(2+) NRAMP family	101588_2	218306	219538	+	1233	436	406	340	418	404	400	485	363	330
enterotoxin family protein	101588_2	221374	222213	+	840	43	53	43	170	171	66	163	154	123
5'-methylthioadenosine nucleosidase @%0AS-adenosylhomocysteine nucleosidase	101588_2	222999	223685	+	687	1102	1180	970	1077	1048	1077	1244	1054	901
FIG001553: Hydrolase%2C HAD subfamily IIIA	101588_2	223705	224232	+	528	740	755	733	935	892	891	1156	874	814
GTP-binding protein YqeH%2C required for biogenesis%0Aof 30S ribosome subunit	101588_2	224233	225333	+	1101	1471	1730	1547	1902	1875	1661	2157	1932	1661
Shikimate 5-dehydrogenase I alpha	101588_2	225347	226153	+	807	1003	1160	1142	1290	1259	942	1452	1184	1133
RNA-binding protein YhbY	101588_2	226157	226447	+	291	412	429	343	416	357	281	475	417	327
Nicotinate-nucleotide adenylyltransferase	101588_2	226450	227019	+	570	842	1169	996	1331	1173	982	1409	1225	1130
Hydrolase (HAD superfamily)%2C YqeK	101588_2	227009	227593	+	585	1511	1600	1484	1733	1563	1115	2046	1709	1398
Ribosomal silencing factor RsfA	101588_2	227594	227947	+	354	1064	1287	1206	1257	1102	761	1418	1032	990
FIG145533: Methyltransferase	101588_2	227950	228666	+	717	1650	1804	1703	1995	1769	1079	2250	1800	1696
Late competence protein ComEA%2C DNA receptor	101588_2	228715	229392	+	678	133	141	147	195	143	117	206	173	157
dCMP deaminase @ Late competence protein ComEB%0ACDS	101588_2	229484	229945	+	462	821	849	771	476	435	238	589	443	437
DNA internalization-related competence protein%0AComEC/Rec2	101588_2	229950	232151	+	2202	311	303	300	241	223	222	389	243	250
DNA polymerase III delta subunit	101588_2	232208	233182	+	975	487	579	514	695	648	218	714	654	536
SSU ribosomal protein S20p	101588_2	233227	233478	-	252	3797	5298	4210	6846	6988	1038	7412	6611	5629
Translation elongation factor LepA	101588_2	233824	235647	+	1824	3706	4448	3917	4068	3694	3723	4840	4004	3713
Oxygen-independent coproporphyrinogen-III%0Aoxidase-like protein YggW	101588_2	236122	237279	+	1158	253	388	344	304	300	245	406	376	301
Heat-inducible transcription repressor HrcA	101588_2	237379	238356	+	978	4860	8792	7798	2264	2669	1498	6001	2810	2619
Heat shock protein GrpE	101588_2	238388	239014	+	627	2498	4454	4486	1740	1661	1383	3410	1747	1643
Chaperone protein DnaK	101588_2	239083	240915	+	1833	8987	11942	12071	11259	10122	9681	14929	9853	9808
Chaperone protein DnaJ	101588_2	241051	242190	+	1140	2098	2445	2253	2140	1981	2168	2603	2039	1842
Ribosomal protein L11 methyltransferase	101588_2	242194	243132	+	939	1504	1881	1716	1778	1726	1410	2204	1653	1570
16S rRNA (uracil(1498)-N(3))-methyltransferase%0ACDS	101588_2	243134	243886	+	753	858	1006	898	951	799	643	1070	962	811
tRNA t(6)A37-methylthiotransferase	101588_2	243893	245239	+	1347	3640	4207	3694	6022	5736	4102	6569	5488	5127
SSU ribosomal protein S21p	101588_2	245532	245708	+	177	10144	14499	12651	24599	22945	3868	26217	21050	19294
UPF0365 protein YqfA	101588_2	246653	247642	+	990	13119	15085	14074	8935	8459	9197	10021	8270	7512
Phosphate starvation-inducible protein PhoH%2C%0Apredicted ATPase	101588_2	248661	249608	+	948	1918	2201	2231	843	839	546	1164	881	829
Metal-dependent hydrolase YbeY%2C involved in rRNA%0Aand/or ribosome maturation and assembly	101588_2	249609	250076	+	468	808	945	1079	480	402	317	538	357	403
Diacylglycerol kinase	101588_2	250079	250423	+	345	432	479	410	218	206	202	254	191	233
Cytidine deaminase	101588_2	250434	250838	+	405	678	792	739	344	281	343	446	306	303
GTP-binding protein Era	101588_2	250839	251738	+	900	1711	1878	1851	782	765	733	980	797	738
DNA recombination and repair protein RecO	101588_2	251766	252512	+	747	1267	1359	1276	610	530	374	694	531	600
Glycyl-tRNA synthetase	101588_2	252663	254054	-	1392	11037	11863	10265	4709	4498	1608	5497	4573	3941
Transcriptional repressor CcpN%2C MarR family	101588_2	254521	255012	+	492	1003	911	970	304	239	166	358	276	295
Phosphoenolpyruvate synthase regulatory protein%0ACDS	101588_2	255023	255841	+	819	1733	1912	1831	1226	1002	533	1270	995	979
DNA primase DnaG	101588_2	255902	257701	+	1800	2940	3335	3019	2725	2876	1959	3164	2888	2427
RNA polymerase sigma factor RpoD	101588_2	257925	259031	+	1107	6376	8262	7643	8880	8241	5223	9524	8166	7371
tRNA (adenine(22)-N(1))-methyltransferase	101588_2	259162	259839	+	678	718	856	715	1223	1264	1009	1379	1270	1025
GTP cyclohydrolase 1 type 2 homolog YbgI @ Bsu%0AYqfO NIF3/CutA domain	101588_2	259842	260942	+	1101	1336	1485	1289	2258	2073	1182	2221	2090	1860
DEAD-box ATP-dependent RNA helicase CshB	101588_2	261056	262402	+	1347	2684	3220	2888	4045	3863	2390	4548	3934	3515
Endonuclease IV	101588_2	262412	263302	+	891	1456	1841	1665	2717	2652	1508	3178	2632	2433
Zinc ABC transporter%2C ATP-binding protein ZnuC%0ACDS	101588_2	263428	264213	+	786	526	514	461	728	743	533	757	832	586
Zinc ABC transporter%2C permease protein ZnuB	101588_2	264246	265118	+	873	497	497	376	684	707	613	791	746	594
Zinc uptake regulation protein Zur	101588_2	265105	265515	+	411	210	322	239	403	390	267	428	340	352
Superoxide dismutase [Mn]%3B Superoxide dismutase%0A[Fe]	101588_2;101588_3	265791;351111	266390;351710	+;-	1200	19291	21609	21381	9297	7965	8149	11139	8071	7961
Uncharacterized protein YqgF	101588_2	266511	268586	+	2076	4735	5322	5040	2966	2542	2847	3569	2689	2674
LSU ribosomal protein L33p @ LSU ribosomal protein%0AL33p%2C zinc-dependent	101588_2;101588_2	268699;566680	268848;566829	+;-	300	4528	7745	6726	7177	6647	1679	7840	6231	6054
5-formyltetrahydrofolate cyclo-ligase	101588_2	269057	269596	+	540	675	756	698	435	414	169	541	471	455
FIG056164: rhomboid family serine protease	101588_2	269608	271071	+	1464	3224	3338	3028	2496	2288	1228	2869	2604	2048
Glucokinase	101588_2	271252	272238	+	987	2915	2897	2804	2877	2746	1835	3187	2726	2687
UPF0045 protein YqgV	101588_2	272238	272567	+	330	789	891	796	1012	874	484	1112	946	760
